case_id,category,ai_root_cause,ai_confidence,expected_fault,reviewer_decision,corrected_root_cause,reviewer_notes,reviewer,timestamp
C028,ACL,"FTP data connection fails because port 20 is not explicitly permitted in the ACL, while port 21 (control) is allowed.",high,"ACL only permits TCP port 21 (control) but blocks the FTP data channel (port 20 / passive high ports), breaking active/passive FTP transfers.",Accepted,"FTP data connection fails because port 20 is not explicitly permitted in the ACL, while port 21 (control) is allowed.",AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C029,VLAN,"Voice VLAN 100 is not configured on Fa0/5, preventing IP phone registration.",high,"Voice VLAN is not configured on the port, so the phone's tagged voice VLAN traffic is dropped/untagged into the data VLAN.",Accepted,"Voice VLAN 100 is not configured on Fa0/5, preventing IP phone registration.",AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C030,NAT,"NAT access-list 1 was not saved to startup-config, causing it to be lost after reboot.",high,"Configuration was never saved (write memory / copy run start), so the numbered ACL used by NAT was lost on reload.",Accepted,"NAT access-list 1 was not saved to startup-config, causing it to be lost after reboot.",AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C031,Routing,The summarized route 192.168.0.0/22 does not include the subnet containing 192.168.12.1.,high,192.168.12.0/24 is inside the summarized range (192.168.8.0/21 = .8.0-.15.255) but is not actually configured/connected behind R2 (black-holed by the summary — route exists but no real path to that specific subnet).,Rejected,"192.168.12.0/24 is not covered by the 192.168.0.0/22 summary at all (that summary only spans 192.168.0.0-192.168.3.255) -- the case's own topology note is inconsistent (it claims the /22 summary covers VLANs 10-13, which it mathematically cannot), so this case needs to be rewritten with a summary range that actually contains the affected subnet before it's usable for grading or the demo.","AI attempted the subnetting math, got the boundary arithmetic wrong (claimed 192.168.12.1 'falls in 192.168.8.0/21'), but in the process correctly noticed the summary doesn't actually contain the address in question. Rejected because both the AI's math and the case's own premise are wrong -- this is flagged as a case-data bug to fix in cases.csv, not just an AI error, and shouldn't be used to score model accuracy until corrected.",Abhey,
C032,DNS,Missing DNS record for 'hr.netsage.local' in the 'netsage.local' zone,high,A record for hr.netsage.local was never created in the DNS zone after the server was deployed.,Accepted,Missing DNS record for 'hr.netsage.local' in the 'netsage.local' zone,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C004,Gateway,"PC4's default gateway (192.168.20.1) is in a different subnet than its own (192.168.10.0/24), indicating misconfigured routing or incorrect DHCP relay.",high,DHCP pool default-router is set to the wrong subnet's gateway (192.168.20.1 instead of 192.168.10.1).,Edited,"PC4's default gateway (192.168.20.1) is in a different subnet than its own (192.168.10.0/24), indicating misconfigured routing or incorrect DHCP relay.",,Abhey,2026-09-04T18:09:29
C004,Gateway,"PC4's default gateway (192.168.20.1) is in a different subnet than its own (192.168.10.0/24), indicating misconfigured routing or incorrect DHCP relay.",high,DHCP pool default-router is set to the wrong subnet's gateway (192.168.20.1 instead of 192.168.10.1).,Accepted,"PC4's default gateway (192.168.20.1) is in a different subnet than its own (192.168.10.0/24), indicating misconfigured routing or incorrect DHCP relay.",,Abhey,2026-09-04T18:09:38
C004,Gateway,PC4 has an incorrect default gateway configured (192.168.20.1) that does not match the VLAN 10 SVI IP on R1,medium,DHCP pool default-router is set to the wrong subnet's gateway (192.168.20.1 instead of 192.168.10.1).,Accepted,PC4 has an incorrect default gateway configured (192.168.20.1) that does not match the VLAN 10 SVI IP on R1,everything works fine,Abhey,2026-09-04T18:25:10
C020,NAT,Static NAT configured with incorrect internal port (8080) instead of web server's actual port (80),high,Static NAT maps inside local port 8080 instead of 80 — port number mismatch between NAT rule and the server's actual listening port.,Accepted,Static NAT configured with incorrect internal port (8080) instead of web server's actual port (80),"got it , thanks",Abhey,2026-09-04T18:33:07
C014,Routing,OSPF is not advertising VLAN 40 subnet because the network statement for 192.168.40.0/24 is missing from R1's OSPF configuration.,high,"VLAN 40's subnet is not included in any OSPF network statement, so it is never advertised.",Accepted,OSPF is not advertising VLAN 40 subnet because the network statement for 192.168.40.0/24 is missing from R1's OSPF configuration.,"this is good diagnostics, thanks",Abhey,2026-09-05T00:33:15
C001,VLAN,Fa0/4 is assigned to VLAN 20 (Guest) instead of VLAN 10 (Sales).,high,Fa0/4 was assigned to VLAN 20 instead of VLAN 10 (wrong access VLAN on port).,Accepted,Fa0/4 is assigned to VLAN 20 (Guest) instead of VLAN 10 (Sales).,,Abhey,2026-09-06T23:21:37
C001,VLAN,Fa0/4 is assigned to VLAN 20 (Guest) instead of VLAN 10 (Sales).,high,Fa0/4 was assigned to VLAN 20 instead of VLAN 10 (wrong access VLAN on port).,Edited,Fa0/4 is assigned to VLAN 20 (Guest) instead of VLAN 10 (Sales).,,Abhey,2026-09-06T23:21:49
C001,VLAN,Fa0/4 is assigned to VLAN 20 (Guest) instead of VLAN 10 (Sales).,high,Fa0/4 was assigned to VLAN 20 instead of VLAN 10 (wrong access VLAN on port).,Accepted,Fa0/4 is assigned to VLAN 20 (Guest) instead of VLAN 10 (Sales).,thanks for the outcome,Abhey,2026-09-06T23:21:56
