case_id,category,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C018,NAT,"Internal PCs can ping each other and the router, but cannot reach the simulated ISP/internet cloud.",R1 performs PAT (NAT overload) from inside VLANs to outside interface Gi0/2.,"R1# show ip nat translations
(empty)
R1# show run | include ip nat
ip nat inside source list 1 interface GigabitEthernet0/2 overload
interface GigabitEthernet0/1
(no 'ip nat inside' applied)","'ip nat inside' is missing on the internal-facing interface, so NAT never triggers even though the outside/overload config is correct.",Layer 3,NAT inside/outside interface not marked,High
C019,NAT,"Some internal hosts can reach the internet simulation, others in the same VLAN cannot.",NAT ACL (access-list 1) defines which source subnets are translated.,"R1# show access-lists 1
Standard IP access list 1
 10 permit 192.168.10.0 0.0.0.15","NAT ACL wildcard mask (0.0.0.15) only covers 192.168.10.0-15, excluding the rest of the /24 subnet's hosts from translation.",Layer 3,Incorrect ACL wildcard mask for NAT,Medium
C020,NAT,Port-forwarded web server (static NAT) is unreachable from the simulated internet.,"Static NAT: inside local 192.168.10.100 -> inside global 203.0.113.50, TCP 80.","R1# show run | include ip nat inside source static
ip nat inside source static tcp 192.168.10.100 8080 203.0.113.50 80
WebServer real port: 80",Static NAT maps inside local port 8080 instead of 80 — port number mismatch between NAT rule and the server's actual listening port.,Layer 4,Static NAT port mismatch,Medium
C021,Wireless,Laptop shows 'Wi-Fi connected' with a valid IP but cannot ping the gateway or any wired host.,"Laptop associates to WLAN 'CORP-WIFI' on AP1, mapped to VLAN 10, AP1 uplink to SW1 Fa0/12.","SW1# show interfaces fa0/12 switchport
Administrative Mode: access
Access Mode VLAN: 99 (unused)","AP uplink switchport is in VLAN 99 instead of VLAN 10, so wireless traffic lands in a VLAN with no gateway/DHCP for it.",Layer 2,AP uplink port VLAN mismatch,Medium
C022,Wireless,"Devices repeatedly fail to associate to the corporate WLAN, showing 'authentication failed'.",WLAN 'CORP-WIFI' configured with WPA2-PSK on the wireless router/AP.,"AP1# show running-config (GUI equiv.)
SSID: CORP-WIFI
Security: WPA2-PSK
Passphrase: (blank/mismatched vs. client config)",Passphrase configured on the AP does not match what end users were issued — pre-shared key mismatch.,Layer 2,WLAN authentication (PSK mismatch),Low
C023,Wireless,Wireless clients connect fine near the AP but drop connection and roam poorly at the far end of the building.,"Two APs (AP1, AP2) cover the same floor on overlapping channels.","AP1: Channel 6, Power: 100%
AP2: Channel 6, Power: 100%",Co-channel interference — both APs on the same channel at full power causes contention/roaming issues rather than a config fault.,Layer 1,RF channel overlap / interference,Low
C024,VLAN,"After adding a new switch (SW3) to the network, PCs behind it can't reach any other VLAN, only local VLAN 10.","SW3 connects to SW1 via Gi0/1, intended as a trunk carrying VLANs 10, 20, 30.","SW3# show interfaces gi0/1 switchport
Administrative Mode: static access
Operational Mode: static access",Uplink port on SW3 was left as an access port instead of being configured as a trunk (switchport mode trunk).,Layer 2,Trunk not configured on new switch uplink,High
C025,Gateway,"PC's ping to default gateway works, but ping to any other subnet's gateway or host fails with 'Destination host unreachable'.","PC26 in VLAN 20, default gateway is HSRP virtual IP shared by R1/R2.","R1# show standby brief
Interface  Grp  Pri  P State   Active     Standby    Virtual IP
Gi0/0.20   20   100  P Active  local      unknown    192.168.20.1
R2# show standby brief
Interface  Grp  Pri  P State   Active     Standby    Virtual IP
Gi0/0.20   20   90   P Init    unknown    unknown    192.168.20.2","HSRP standby router (R2) is stuck in Init state (likely mismatched HSRP group/authentication), so failover/backup path for VLAN 20 is not functioning, and the only forwarding path has an upstream routing gap.",Layer 3,HSRP first-hop redundancy misconfiguration,Medium
C026,DHCP,"PC obtains an IP in the 192.168.10.0/24 range but with subnet mask 255.255.255.128, causing it to treat the gateway as unreachable.",DHCP pool VLAN10_POOL should hand out 255.255.255.0 masks.,"R1# show run | section dhcp pool VLAN10_POOL
ip dhcp pool VLAN10_POOL
 network 192.168.10.0 255.255.255.128
 default-router 192.168.10.1","DHCP pool network statement uses the wrong mask (/25 instead of /24), splitting the pool and gateway into different logical subnets from the client's perspective.",Layer 3,Wrong subnet mask in DHCP pool,High
C027,Routing,Two branch routers using EIGRP fail to form a neighbor relationship.,"R3 (Branch A, AS 100) and R4 (Branch B, AS 200) connected via a shared serial link.","R3# show ip eigrp neighbors
(empty)
R3# show run | section router eigrp
router eigrp 100
R4# show run | section router eigrp
router eigrp 200",Mismatched EIGRP autonomous system numbers (100 vs 200) between the two routers prevent neighbor formation.,Layer 3,EIGRP AS number mismatch,High
C028,ACL,"FTP file transfers to the server fail (control connection connects, but data never transfers) while other TCP apps work fine.",ACL on R1 restricts VLAN 10 to only common ports toward the server subnet.,"R1# show access-lists FTP_RESTRICT
10 permit tcp any host 192.168.50.10 eq 21
20 deny ip any any","ACL only permits TCP port 21 (control) but blocks the FTP data channel (port 20 / passive high ports), breaking active/passive FTP transfers.",Layer 4/7,ACL missing required application ports,Medium
C029,VLAN,Voice VLAN phones fail to get IP addresses while PCs plugged into the same switch ports work fine.,"SW1 Fa0/5 has both an IP phone and a PC daisy-chained, using a separate voice VLAN 100.","SW1# show run interface fa0/5
interface FastEthernet0/5
 switchport mode access
 switchport access vlan 10
 (no 'switchport voice vlan 100' command)","Voice VLAN is not configured on the port, so the phone's tagged voice VLAN traffic is dropped/untagged into the data VLAN.",Layer 2,Missing voice VLAN configuration,Medium
C030,NAT,"After a router reboot, all internal hosts lose internet simulation access even though the config looks unchanged in 'show running-config'.",NAT overload config relies on access-list 1 defined via numbered ACL.,"R1# show startup-config | include access-list
(no output)
R1# show running-config | include access-list
access-list 1 permit 192.168.10.0 0.0.0.255","Configuration was never saved (write memory / copy run start), so the numbered ACL used by NAT was lost on reload.",Layer 3,Unsaved configuration lost on reload,High
C031,Routing,Summarized route to branch subnets causes one specific /24 to become unreachable while others in the summary work.,R2 advertises a summary route 192.168.8.0/21 covering VLANs 10-13's subnets (192.168.8.0-192.168.15.255) toward HQ.,"HQ-R1# show ip route
O IA  192.168.8.0/21 [110/20] via 10.0.0.2
HQ-R1# ping 192.168.12.1
Request timed out.",192.168.12.0/24 is inside the summarized range (192.168.8.0/21 = .8.0-.15.255) but is not actually configured/connected behind R2 (black-holed by the summary — route exists but no real path to that specific subnet).,Layer 3,Route summarization black-hole,Medium
C032,DNS,Internal hostname resolution works for servers but fails specifically for the newly added 'hr.netsage.local' record.,DNS server hosts an internal zone 'netsage.local'.,"DNS-Server> show zone netsage.local
fileserver.netsage.local  A  192.168.50.10
mailserver.netsage.local  A  192.168.50.11
(no record for hr.netsage.local)",A record for hr.netsage.local was never created in the DNS zone after the server was deployed.,Layer 7,Missing DNS resource record,Low
